company,idea,industry,subindustry,tags
Flagright,AI-native AML compliance platform for fintechs & banks,B2B,B2B,Fintech|B2B|Compliance|Regtech|AI
Flai,We Bring Customers to Your Dealership,Industrials,Industrials -> Automotive,
Flair Labs,AI workforce for mortgage,B2B,B2B,Artificial Intelligence|Fintech|AI Assistant
FlatX,AI-Powered Rental Platform for Urban Renters,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Marketplace|Real Estate|Housing
Flaviar,Try-at-home service for fine spirits,Consumer,Consumer -> Food and Beverage,Marketplace|Food & Beverage
Fleek,A B2B marketplace for wholesale second hand fashion,B2B,B2B -> Retail,Marketplace|B2B|E-commerce
Fleetline,Optimizing fleet planning with data driven algorithms,B2B,B2B -> Supply Chain and Logistics,Artificial Intelligence|Logistics|Supply Chain|Data Science
FleetWorks,AI enabled marketplace matching trucks with jobs,B2B,B2B -> Supply Chain and Logistics,Logistics|AI
Fleetzero,Making all ships robots.,Industrials,Industrials,Climate
Flex,Stripe for HSA/FSA payments,Fintech,Fintech -> Payments,Fintech|Marketplace|Health & Wellness
FlexDesk,AI Agents for corporate real estate teams,B2B,B2B -> Office Management,Real Estate|B2B|HR Tech|Proptech
Flexport,Platform for global logistics.,B2B,B2B -> Supply Chain and Logistics,SaaS|Logistics|Supply Chain
Flextock,Tech-enabled fulfillment provider in the Middle East & Africa,B2B,B2B -> Supply Chain and Logistics,Logistics|Supply Chain
FlexWash,The operating system for the car wash industry.,B2B,B2B -> Operations,SaaS|B2B|Subscriptions|Retail|SMB
Flick,We Handle AI. You Direct Films.,Consumer,Consumer -> Content,Artificial Intelligence|Creator Economy
Flightfox,"A platform to plan, book and manage global and group travel.",B2B,B2B -> Operations,B2B|Travel
Flike,Flike's AI crafts sales emails that convert,B2B,B2B,Artificial Intelligence|Machine Learning
Flint,Personalized learning built for schools,Education,Education,Education|Generative AI|Edtech|AI
Flint,Securing Nurses for Your Future,Healthcare,Healthcare,Healthcare
Flinto,Mexico's digital wallet,Fintech,Fintech -> Payments,Fintech|Consumer|Latin America
Flip,Community-driven marketplace for sneakers.,Consumer,Consumer -> Apparel and Cosmetics,Marketplace
Flo,The talent platform for legal,B2B,B2B -> Recruiting and Talent,Marketplace|Legal|LegalTech|HR Tech|Talent Acquisition
Float,Supply chain finance for consumer brands,Fintech,Fintech,Fintech|B2B|E-commerce
Float Health,Float is the full-stack platform for Specialty Pharma,Healthcare,Healthcare,Health Tech
floatingpoint,Datasets and evals to push the frontier of visual intelligence.,B2B,B2B,
Floatpays Inc,On-demand wage access service built for the African market,Fintech,Fintech,Fintech|SaaS
Flock Safety,The first public safety operating system that eliminates crime.,B2B,"B2B -> Engineering, Product and Design",Hardware|Machine Learning|SaaS
Flockjay,"AI-driven learning, content, and coaching for sales teams",B2B,B2B -> Sales,Artificial Intelligence|SaaS|eLearning|Productivity|Sales
Flok,End to end company retreat planning,B2B,B2B,Marketplace|Travel|Remote
Floot,The app platform inside Claude and ChatGPT.,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|SaaS|No-code|Web Development
Floracene,"Vibecode + deploy HIPAA-compliant internal tools, no eng team needed",Healthcare,Healthcare,Health Tech|Medical Devices|Digital Health|Enterprise Software|Healthcare IT
Florin,Florin is the insurance carrier with zero underwriters,Fintech,Fintech -> Insurance,Fintech|Insurance|AI
Flott HQ,AI-native operating system for vehicle fleet management,B2B,B2B,Logistics|Transportation|Operations|AI Assistant
Flotype,Third generation of web apps.,B2B,B2B -> Retail,SaaS|API
Flow,Improve your browsing experience by staying organized and intentful,B2B,B2B -> Infrastructure,Developer Tools
Flow Club,Virtual Co-working Community,B2B,B2B -> Productivity,Consumer|Community|Productivity|Health & Wellness|Remote Work
Flowbo,Pipe for online businesses,Fintech,Fintech -> Consumer Finance,Fintech|Marketplace|Creator Economy
Flowbot,A natural language-driven programming assistant.,B2B,B2B -> Infrastructure,Artificial Intelligence|NLP
Flowdash,Quickly build internal tools for your ops team's manual workflows,B2B,"B2B -> Engineering, Product and Design",SaaS|B2B
FlowDeploy,Bioinformatics pipelines in the cloud,B2B,B2B -> Infrastructure,Developer Tools|Drug discovery|Data Engineering
FlowEQ,No-code workflow tool,B2B,B2B -> Productivity,B2B|Customer Success|Compliance|API|Enterprise
Flower,Train AI on distributed data,B2B,B2B,
FLOWER CO.,FLOWER CO. sells weed on the internet.,Consumer,Consumer -> Home and Personal,E-Commerce|Cannabis
Flowglad,"Analyze, act, and automate across systems",B2B,B2B,Artificial Intelligence|AI|APIs
FlowiseAI,Open source GenAI development platform,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Generative AI|Open Source
Flowly,Our mobile app reduces chronic pain for 100 million Americans.,Healthcare,Healthcare -> Consumer Health and Wellness,Health Tech
FlowManual,AI for Construction's Back Office,Real Estate and Construction,Real Estate and Construction -> Construction,SaaS|Construction|Workflow Automation
Floworks,Hire the best AI Sales employees | AI SDR | AI RevOps | AI EA,B2B,B2B -> Sales,Generative AI|Productivity|Sales|AI|AI Assistant
flowscope,AI-native consulting to map and automate business processes,B2B,B2B,
Flowspace,The operating system powering ecommerce fulfillment,B2B,B2B -> Supply Chain and Logistics,Logistics|E-commerce|Supply Chain
Flowtel,The AI Voice agents for hotels,B2B,B2B -> Infrastructure,
FloydHub,"ML Platform for developing, training and deploying ML models",B2B,"B2B -> Engineering, Product and Design",AIOps|Machine Learning|SaaS
Fluently,Speaking coach for non-native English professionals,Consumer,Consumer,Education|SaaS|Consumer|Productivity|AI
Fluid Markets,Invest in public companies KPIs,Fintech,Fintech -> Banking and Exchange,
fluke,fluke is a full-digital mobile operator in Brazil,B2B,B2B,B2B|Telecommunications
FlutterFlow,Application Development Platform (Native Mobile + Web Apps),B2B,"B2B -> Engineering, Product and Design",
Flutterwave,Helping businesses make and accept payments from anywhere in Africa.,Fintech,Fintech -> Payments,Fintech
Flux Auto,Physical AI for Warehouses and Factories,Industrials,Industrials -> Manufacturing and Robotics,Artificial Intelligence|Autonomous Trucking|Hard Tech|Robotics|AI
Fly.io,Run full stack apps close to your users.,B2B,B2B -> Infrastructure,Infrastructure
FlyCode,Recover failed subscription payments to increase retention and LTV,Fintech,Fintech,Artificial Intelligence|Fintech|Payments|E-commerce|Subscriptions
Flyflow,The easiest way to find high-quality sales leads,B2B,B2B -> Sales,
Flytenow,Ride sharing for small planes,Consumer,"Consumer -> Travel, Leisure and Tourism",Air Taxis
Flywheel AI,Waymo for excavators,Industrials,Industrials -> Manufacturing and Robotics,Deep Learning|Hardware|Construction
Foaster,The AI-native McKinsey,B2B,B2B,
Fobo,Sell to people nearby.,Consumer,Consumer -> Home and Personal,E-Commerce|Location-based
Focal,AI video creation tool for TV shows and movies,Consumer,Consumer -> Content,Artificial Intelligence|Consumer|Video
Focal Systems,Building the Operating System for B&M Retail using Deep Learning,B2B,B2B -> Retail,Deep Learning|Grocery|Computer Vision
Fogbender,Customer support tool purpose-built for companies that sell APIs,B2B,B2B,
Fond,Rewards and recognition SaaS for HR leaders,B2B,B2B -> Human Resources,Fintech|SaaS|HR Tech
Fondeadora,We are connecting every single Mexican to the financial system.,Fintech,Fintech -> Banking and Exchange,Fintech|Consumer Finance
Fondo,"Bookkeeping, tax, & tax credits on autopilot for 2,000+ startups",B2B,B2B -> Finance and Accounting,Fintech|SaaS|B2B|AI
Font Awesome,Icons and social logos for your website.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|Design Tools|Open Source
FoodCourt,Virtual Restaurants & Stores for Africa,Consumer,Consumer -> Food and Beverage,Ghost Kitchens|Consumer|Delivery|Food Tech
Forage,"Online job simulations for companies to train, and then hire, students",B2B,B2B -> Recruiting and Talent,Education|SaaS
Forage,Payments infrastructure for government benefits,Fintech,Fintech -> Payments,Fintech|GovTech|Payments
Forage Mail,AI that solves email overwhelm. Not another mail app.,Consumer,Consumer,Consumer|Productivity|Email|AI|AI Assistant
Forcyte Biotechnologies,"Discover drugs that control how much cells ""squeeze"" to treat disease",Healthcare,Healthcare -> Diagnostics,Drug discovery
Foreman,"Keeping contractors on the job site, not behind a desk.",Real Estate and Construction,Real Estate and Construction,Artificial Intelligence|Finance|Construction|Scheduling|Enterprise Software
Forerunner AI,AI that gets aircraft flying faster,Industrials,Industrials -> Aviation and Space,Airlines|Aerospace|AI
Foresight,Consumer simulations for CPG market research,B2B,B2B -> Analytics,
Forever Labs,"We bank your stem cells to help you live healthier, longer.",Healthcare,Healthcare -> Therapeutics,Anti-Aging
Foreword,"A marketplace for live, online workshops for professionals",Education,Education,Education|Marketplace
Forge,Getting companies refunds on tariffs & duties,B2B,B2B -> Supply Chain and Logistics,Artificial Intelligence|B2B|Logistics|Supply Chain
Forge Automation,Software Enabled CNC Parts Supplier,Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Hardware|Robotics|Manufacturing|Industrial
Forge Rewards,Starbucks app for restaurants,B2B,B2B,Artificial Intelligence|Restaurant Tech|Food Tech
Forge Robotics,A robotics intelligence system for metal fabrication,Industrials,Industrials -> Manufacturing and Robotics,Robotic Process Automation|Robotics|Industrial
Formal,Take control of your data in real-time.,B2B,B2B,Cybersecurity
Formance,Open Source Infrastructure for the Financial Internet,B2B,B2B,Developer Tools|Fintech|Payments|B2B|Open Source
Formula Insight,"Help Institutional Investors manage, track & query their Excel models",B2B,B2B,Fintech|SaaS|B2B|Workflow Automation|Enterprise Software
Fort,Strength Tracking Wearable,Consumer,Consumer -> Consumer Electronics,
Fortuna Health,TurboTax for Medicaid,Healthcare,Healthcare -> Healthcare IT,Health Tech|Healthcare|Healthcare IT
Forum,The first exchange to trade on attention.,Fintech,Fintech,
Forward,Unifying Global Private Credit,B2B,B2B,Artificial Intelligence|Fintech|B2B
Foster,A better way to write.,Consumer,Consumer -> Home and Personal,Productivity
Foundation,Shopify for Homebuilders,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,SaaS|Real Estate|B2B|Proptech|AI Assistant
Foundation Industries,We supply hard tech companies with critical components.,Industrials,Industrials,Manufacturing|Industrial
Fountain,High volume hiring made simple,B2B,B2B -> Recruiting and Talent,AIOps|Marketplace|SaaS|HR Tech
Fountain9,Helping food brands and retailers reduce food wastage,B2B,B2B -> Retail,Artificial Intelligence|Warehouse Management Tech|E-commerce|Supply Chain|Retail
Four Growers,Robots that feed the world - robotic harvesting and analytics,Industrials,Industrials -> Agriculture,Robotics|Analytics|Agriculture
Foxpass,Making enterprise security practices available for all companies.,B2B,B2B -> Security,DevSecOps
Fractional,The place where motivated investors and entrepreneurs co-own together.,Fintech,Fintech,Fintech|Real Estate|Community
Fragment,Turn manual operations into scalable processes,B2B,B2B -> Operations,
Framebase,API for video.,Consumer,Consumer -> Content,Video|API
Framewise Health,AI-native patient engagement,Healthcare,Healthcare,
Freebuff,The free coding agent,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools
Freeport Markets,Trade Anything,Fintech,Fintech -> Consumer Finance,Fintech|Crypto / Web3|Investing|Consumer Finance|AI
Freesolo,Product Native Models,B2B,"B2B -> Engineering, Product and Design",Reinforcement Learning|B2B|AI
Freestyle,The AI Assistant for Gmail,Consumer,Consumer,Artificial Intelligence|Productivity|Email|AI Assistant
Freestyle,We run and deploy code your AI wrote,B2B,B2B -> Infrastructure,Developer Tools|Open Source|Web Development|Cloud Computing
Frekil,RWE Generation in minutes,Healthcare,Healthcare,Health Tech|B2B|Biotech|Healthcare|AI
Fresco,AI copilot for construction estimators,Real Estate and Construction,Real Estate and Construction -> Construction,
Fresh Factory,Smart Cold Chain Fulfillment Platform,B2B,B2B -> Supply Chain and Logistics,Warehouse Management Tech|B2B|Logistics
Freshpaint,"Customer data collection, safeguarding, & activation for healthcare",B2B,B2B -> Infrastructure,Developer Tools|SaaS|B2B
Freshplum,Analytics with action,B2B,B2B -> Analytics,Analytics
Freterium,Real-Time Collaborative Transport Management Platform,B2B,B2B -> Supply Chain and Logistics,Logistics|Supply Chain
Freya,Voice AI for Enterprises,Fintech,Fintech,
Fridge,Disposable social networks.,Consumer,Consumer -> Social,Social Network
Frigade,AI-powered product assistance for modern software teams,B2B,"B2B -> Engineering, Product and Design",SaaS|Customer Success|Customer Service|AI|AI Assistant
Friz,AI Social Media Manager,Consumer,Consumer -> Job and Career Services,Developer Tools|SaaS|Design Tools|Social Media|AI
Frizzle,AI Grading for Teachers,Education,Education,Artificial Intelligence|Education|SaaS|B2B|Productivity
Front,Customer communications hub for building strong relationships,B2B,B2B -> Productivity,SaaS
FrontPage,Community for 100M Indian Financial Market Traders & Investors,Fintech,Fintech -> Asset Management,Fintech|Community
Frubana Inc,The everything store for restaurants in LATAM.,B2B,B2B -> Supply Chain and Logistics,Fintech|B2B|Logistics
Fuchsia,Vanta for hardware,B2B,B2B,
Fulcrum,The agentic debugger for AI systems,B2B,B2B -> Analytics,
FullSeam,AI agents for corporate accounting teams,B2B,B2B -> Finance and Accounting,
Function of Beauty,"Customizable beauty for hair, skin, and body care products.",Consumer,Consumer -> Apparel and Cosmetics,Beauty|Personalization|E-commerce
FunctionUp (FanPlay),A skill-tech platform that runs placement bootcamps,Education,Education,Education|Income Share Agreements|eLearning
FundersClub,Online VC,Fintech,Fintech -> Asset Management,Fintech|Marketplace
Furmacy,Digital e-prescribing software for veterinarians.,Healthcare,Healthcare -> Healthcare IT,
FurtherAI,AI Workforce for the Insurance Industry,B2B,B2B,Insurance
Fuse,AI-powered workflow automation for US healthcare providers.,Healthcare,Healthcare,Artificial Intelligence|Fintech|Payments|B2B|Healthcare
Fuse,Unified API for financial data aggregators.,Fintech,Fintech,Fintech|SaaS|B2B
Fuse AI,Agentic Sales Platform,B2B,B2B -> Sales,
FUTURA,Digitizing dentistry in LatAm,Healthcare,Healthcare -> Consumer Health and Wellness,Health Tech|Latin America
